Center Name,Legal Name,Building,Street,Borough,ZipCode,Phone,Permit Number,Permit Expiration,Status,Age Range,Maximum Capacity,Day Care ID,Program Type,Facility Type,Child Care Type,Building Identification Number,URL,Date Permitted,Actual,Violation Rate Percent,Average Violation Rate Percent,Total Educational Workers,Average Total Educational Workers,Public Health Hazard Violation Rate,Average Public Health Hazard Violation Rate,Critical Violation Rate,Average Critical Violation Rate,Inspection Date,Regulation Summary,Violation Category,Health Code Sub Section,Violation Status,Inspection Summary Result
"JACKSON CHILDREN'S SERVICES, INC.","JACKSON CHILDREN'S SERVICES, INC.",88-23,31 AVENUE,QUEENS,11369,718-205-1919,105769,08/10/2024,Permitted,2 YEARS - 5 YEARS,30,DC40674,PRESCHOOL,GDC,Child Care - Pre School,4033431,,08/10/2022,Y,50.0000,21.9050,7,11.9769,0,6.1285,50,18.9541,12/07/2022,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41(j),OPEN,Initial Annual Inspection - Reinspection Not Required
"JACKSON CHILDREN'S SERVICES, INC.","JACKSON CHILDREN'S SERVICES, INC.",88-23,31 AVENUE,QUEENS,11369,718-205-1919,105769,08/10/2024,Permitted,2 YEARS - 5 YEARS,30,DC40674,PRESCHOOL,GDC,Child Care - Pre School,4033431,,08/10/2022,Y,50.0000,21.9050,7,11.9769,0,6.1285,50,18.9541,12/07/2022,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41(j),OPEN,Initial Annual Inspection - Reinspection Not Required
ATERET TORAH CENTER,BET YAAKOV ATERET TORAH,2166,CONEY ISLAND AVENUE,BROOKLYN,11223,718-375-7100,,01/23/2115,Active,3 YEARS - 5 YEARS,0,DC20651,PRESCHOOL,SBCC,School Based Child Care,3394079,,,,50.0000,45.1817,6,8.0094,0,23.3017,50,35.2291,10/20/2022,School-based child care staff observed caring for children while unhealthy. Staff medical certificate of fitness Not provided.,GENERAL,43.11(b),OPEN,Initial Annual Inspection - Reinspection Required
PACKER SUMMER 2022,PACKER COLLEGIATE INSTITUTE,170,Joralemon Street,BROOKLYN,11201,718-250-0259,33693,09/15/2022,Expired-In Renewal,0 YEARS - 16 YEARS,300,DC23302,ALL AGE CAMP,Camp,Camp,3391484,www.packer.edu/summer,05/14/2013,N,0.0000,26.8868,0,1.0000,0,14.2558,0,21.8553,06/22/2022,There were no new violations observed at the time of this inspection/visit.,,,N/A,Initial Annual Inspection - Passed inspection with no violations
THE LEARNING EXPERIENCE,"RIVERDALE CHILDCARE EXPERIENCE, LLC",3210,Riverdale Avenue,BRONX,10463,718-708-5884,97738,09/28/2023,Permitted,2 YEARS - 5 YEARS,131,DC32914,PRESCHOOL,GDC,Child Care - Pre School,2083672,www.thelearningexperience.com,09/28/2015,Y,,,26,11.9769,,,,,11/05/2021,At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.,GENERAL,47.25(a)(1),CORRECTED,
THE LEARNING EXPERIENCE,"RIVERDALE CHILDCARE EXPERIENCE, LLC",3210,Riverdale Avenue,BRONX,10463,718-708-5884,97738,09/28/2023,Permitted,2 YEARS - 5 YEARS,131,DC32914,PRESCHOOL,GDC,Child Care - Pre School,2083672,www.thelearningexperience.com,09/28/2015,Y,,,26,11.9769,,,,,11/05/2021,At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.,GENERAL,47.25(a)(1),CORRECTED,
"KID KRAZY, INC.",KID KRAZY EARLY CHILDHOOD DEVELOPMENT CENTER ANNEX II,21-35,21 AVENUE,QUEENS,11105,718-545-5728,7278,07/21/2024,Permitted,2 YEARS - 5 YEARS,24,DC2276,PRESCHOOL,GDC,Child Care - Pre School,4447571,kidkrazypreschool.com,12/16/2003,Y,0.0000,21.9050,10,11.9769,0,6.1285,0,18.9541,01/19/2022,There were no new violations observed at the time of this inspection/visit.,,,N/A,Initial Annual Inspection - Passed inspection with no violations
"KID KRAZY, INC.",KID KRAZY EARLY CHILDHOOD DEVELOPMENT CENTER ANNEX II,21-35,21 AVENUE,QUEENS,11105,718-545-5728,7278,07/21/2024,Permitted,2 YEARS - 5 YEARS,24,DC2276,PRESCHOOL,GDC,Child Care - Pre School,4447571,kidkrazypreschool.com,12/16/2003,Y,0.0000,21.9050,10,11.9769,0,6.1285,0,18.9541,01/19/2022,There were no new violations observed at the time of this inspection/visit.,,,N/A,Initial Annual Inspection - Passed inspection with no violations
BLOCK INSTITUTE SCHOOL,BLOCK INSTITUTE SCHOOL,376,BAY 44 STREET,BROOKLYN,11214,718-906-5400,6006,01/28/2024,Permitted,2 YEARS - 5 YEARS,208,DC10875,PRESCHOOL,GDC,Child Care - Pre School,3187874,blockinstitute.org,11/09/2004,N,33.3333,21.9050,61,11.9769,0,6.1285,33.3333,18.9541,05/19/2021,There were no new violations observed at the time of this inspection/visit.,,,N/A,Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection
ALL MY CHILDREN DAY CARE & NURSERY SCHOOL,ALL MY CHILDREN DAY CARE & NURSERY SCHOOL,110,RIDGE STREET,MANHATTAN,10002,212-466-6262,73219,09/11/2024,Permitted,2 YEARS - 5 YEARS,59,DC31943,PRESCHOOL,GDC,Child Care - Pre School,1004096,www.allmychildrendaycare.com,09/11/2014,Y,0.0000,21.9050,8,11.9769,0,6.1285,0,18.9541,07/07/2022,There were no new violations observed at the time of this inspection/visit.,,,N/A,Initial Annual Inspection - Passed inspection with no violations
